"Drug","Model","N","Responders","Nonresponders","Prevalence","MCC","Balanced_Accuracy","Accuracy","Recall","Specificity","Precision","NPV","F1"
"MMF","rf",124,105,19,0.846774193548387,0.626319654368789,0.825194805194805,0.897410560454039,0.933722943722944,0.716666666666667,0.944285714285714,0.662857142857143,0.938425639524276
"AZA","nb",52,24,28,0.461538461538462,0.613013755170319,0.773333333333333,0.789090909090909,0.74,0.806666666666667,0.861111111111111,0.842857142857143,0.759523809523809
"HC","knn",182,158,24,0.868131868131868,0.668608277850417,0.807383367139959,0.916558288632592,0.954766734279919,0.66,0.950228815302345,0.814285714285714,0.951127479485688
"SOC","knn",271,215,56,0.793357933579336,0.277100505039432,0.606228054890846,0.782095996909556,0.907281284606866,0.305174825174825,0.833442929923633,0.561616161616162,0.867461822472908
