"celltype","ID","Description","NES","pvalue","p.adjust","qvalue","setSize","core_enrichment"
"Mast_cells","GO:0000768","syncytium formation by plasma membrane fusion",2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,49,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"Mast_cells","GO:0006949","syncytium formation",2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,49,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"Mast_cells","GO:0140253","cell-cell fusion",2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,49,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"Mast_cells","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",2.79649299402659,1e-10,1.95222222222222e-08,1.15605076551623e-08,45,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","GO:1901740","negative regulation of myoblast fusion",2.79649299402659,1e-10,1.95222222222222e-08,1.15605076551623e-08,45,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","GO:0060142","regulation of syncytium formation by plasma membrane fusion",2.72903494474898,1e-10,1.95222222222222e-08,1.15605076551623e-08,48,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","GO:0007520","myoblast fusion",2.72768072954195,1e-10,1.95222222222222e-08,1.15605076551623e-08,48,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"Mast_cells","GO:1901739","regulation of myoblast fusion",2.69446737092742,1e-10,1.95222222222222e-08,1.15605076551623e-08,47,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","GO:0002181","cytoplasmic translation",2.4474877097732,1e-10,1.95222222222222e-08,1.15605076551623e-08,121,"RPS17/RPS10/RPS28/RPL17/RPL26/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPS15A/RPLP2/RPS14/RPL31/RPS8/RPL24/RPL9/RPS29/RPL13A/RPS15/YBX1/RPL35A/RPL27/RPS21/RPS24/RPL28/RPS7/RPL21/RPL10A/SH3BGRL/RPSA/TCF25/RPL37/RPS23/RPS11/RPS25/RPL41/RPS27A/RPL11/RPL5/RPS16/UBA52/EIF3B/RPL22/RPL19/RPL30/RPS2/RPS20/RPL7/RPL35/RPS13/RPL29/RPL18A/RPS27/RPL37A/RPS12/RPL15/EIF3I/RPL6"
"Mast_cells","GO:0014902","myotube differentiation",2.67014695439222,1.30196582987313e-10,2.28755396308708e-08,1.35462473487073e-08,51,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/NACA/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"IFN_activated_DC","GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",3.01877656405306,1e-10,2.36125e-08,2.14530696650009e-08,45,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:1901740","negative regulation of myoblast fusion",3.01877656405306,1e-10,2.36125e-08,2.14530696650009e-08,45,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:1901739","regulation of myoblast fusion",2.99647333072854,1e-10,2.36125e-08,2.14530696650009e-08,51,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0000768","syncytium formation by plasma membrane fusion",2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,56,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0006949","syncytium formation",2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,56,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0140253","cell-cell fusion",2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,56,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0007520","myoblast fusion",2.96295586738433,1e-10,2.36125e-08,2.14530696650009e-08,54,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0060142","regulation of syncytium formation by plasma membrane fusion",2.9549945867341,1e-10,2.36125e-08,2.14530696650009e-08,52,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0014902","myotube differentiation",2.85089459727196,1e-10,2.36125e-08,2.14530696650009e-08,68,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","GO:0002181","cytoplasmic translation",2.78676963376342,1e-10,2.36125e-08,2.14530696650009e-08,185,"RPL11/RPS15A/RPL30/RPL5/RPS13/RPL32/RPS23/RPS7/PABPC1/RPL18/RPL10/RPS27A/RPL9/RPL7/RPL6/RPS8/RPL22/RPS28/RPS24/RPS10/RPL4/RPL18A/EEF1D/RPL36A/RPL34/FAU/RPS15/RPL29/RPL24/RPL17/RPL19/RPL12/RPS2/RPL21/RPL10A/RPL7A/RPS21/EEF2/DENR/RPLP2/RPSA/RACK1/RPS14/RPL35A/RPL26/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/DDRGK1/ZNF598/RPS3/TCF25/RPS12/RPS25/RPS5/RPL8/YBX1/RNF25/RPS4X/RPL35/FTSJ1/RPS6/RPL13/RPL15/RPS3A/DHX29/SAYSD1/UBA52/RPS9/RPL14/RPL41/EIF2B3/FMR1"
"IFN_activated_DC","GO:0006941","striated muscle contraction",2.74876320011779,1e-10,2.36125e-08,2.14530696650009e-08,82,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/RPL21/RPL10A/RPL7A/EEF2/RPLP2/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3"
"IFN_activated_DC","GO:0051146","striated muscle cell differentiation",2.69657363650543,1e-10,2.36125e-08,2.14530696650009e-08,97,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/CD81/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/MTLN/FLII/KDM6B/RPL8/RPL35/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/RPL14/RPL41/WDR1/TOMM70/NOTCH1/RPL38"
"IFN_activated_DC","GO:0042692","muscle cell differentiation",2.5635511957469,1e-10,2.36125e-08,2.14530696650009e-08,134,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/OLFM2/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/SRF/CD81/TMEM204/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/ACTN1/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/MTLN/FLII/CDK9/KDM6B/RPL8/RPL35/KDM1A/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/QKI/RPL14/RPL41/CHRNB1/WDR1/TOMM70/NOTCH1/RPL38"
"IFN_activated_DC","GO:0006936","muscle contraction",2.51033578111937,1e-10,2.36125e-08,2.14530696650009e-08,112,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/PABPN1/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/SRF/RPL21/RPL10A/RPL7A/EEF2/RPLP2/APBB1/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/MAP2K1/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3"
