"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL11",1517.52826042129,0.312241549426141,0.0694582965966931,4.49538161350486,6.94452875098009e-06,0.00404171573307041
"RPS15A",1619.08523418572,0.261053714301724,0.0613794588499231,4.25311202140146,2.10820046509319e-05,0.0061348633534212
"RPL30",2163.55935894726,0.257627632856516,0.070720675301795,3.64288988696884,0.000269594185464204,0.0523012719800556
"JUN",84.7076422369801,-2.13649576902419,0.633264939911858,-3.3737787051997,0.000741439471249274,0.0782708362430628
"RPL5",654.62832452228,0.316835719753048,0.0959565782752505,3.30186554635377,0.000960440967014179,0.0782708362430628
"RPL32",2170.74516977274,0.214502887807565,0.066778315061247,3.2121638231038,0.00131739229459328,0.0782708362430628
"RPS23",1453.24900248061,0.254794640750861,0.0794685846186801,3.20623101535607,0.00134485972926225,0.0782708362430628
"RPS18",1791.62175092949,-0.275672909454031,0.0833840718348335,-3.30606197788088,0.000946171565943612,0.0782708362430628
"TNFAIP3",44.1898315323995,-0.964085512936989,0.29651492688002,-3.25138947668254,0.0011484241689807,0.0782708362430628
"RPS13",1190.85209137416,0.289475737789939,0.0899844488375347,3.21695294608719,0.00129559845498177,0.0782708362430628
"DUSP1",75.8180790888444,-2.08092150537963,0.661426741614394,-3.14611033158497,0.00165457576202644,0.0875420994090352
"RPS7",778.665446596257,0.255762798893583,0.0830879975009894,3.07821594678025,0.00208243951821216,0.10099831663329
"PABPC1",300.216429497755,0.277817335026629,0.0925310985444445,3.00242123347523,0.00267841275969978,0.119910478934252
"RPL18",900.242618054348,0.274211609877759,0.0921358120673176,2.97616750452484,0.0029187539261613,0.121336770358991
"RPL10",2262.90266977771,0.250824269148527,0.0852223886184861,2.94317342208499,0.00324866378057527,0.12604815468632
"RPS27A",1260.33903438251,0.253518226627104,0.0868780285888222,2.91809368542373,0.00352178521118872,0.12810493705699
"MT-ATP8",69.8516292547051,-1.19397278897131,0.415799569105655,-2.87151040473523,0.0040851533362842,0.139856425983377
"PIM1",91.1954081484509,-0.447285961265746,0.158287930550805,-2.82577426913913,0.00471664895636771,0.149663378187534
"FOS",118.086580981786,-2.31888787528067,0.823919133794151,-2.8144605218745,0.00488591784461022,0.149663378187534
"ARHGAP15",50.6781963892466,-0.499419435709388,0.179049937437874,-2.78927456136462,0.00528262597849311,0.15372441597415
"RPL9",574.929725607795,0.342181952297903,0.124110625241204,2.75707218163542,0.00583214756492424,0.154286812853905
"SNHG29",138.283473331642,0.382971043975415,0.138395953589828,2.76721272581746,0.00565378497029594,0.154286812853905
"EEF1A1",3081.07611484051,0.253881395285524,0.0946746537073529,2.68161947621475,0.00732667466330963,0.172131281194092
