"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071225","cellular response to muramyl dipeptide","1/3","10/18842",0.1,628.066666666667,25.0293269672782,0.00159142721467032,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:2000197","regulation of ribonucleoprotein complex localization","1/3","10/18842",0.1,628.066666666667,25.0293269672782,0.00159142721467032,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0071166","ribonucleoprotein complex localization","1/3","11/18842",0.0909090909090909,570.969696969697,23.8613546978608,0.0017504770085508,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0006401","RNA catabolic process","2/3","468/18842",0.00427350427350427,26.8404558404558,7.14339918988007,0.00181648549799211,0.0291096509659764,0.0048128384071606,"PATL2/NEAT1",2
"GO:0032817","regulation of natural killer cell proliferation","1/3","12/18842",0.0833333333333333,523.388888888889,22.8424705206088,0.00190950991009475,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0141188","nucleic acid catabolic process","2/3","495/18842",0.00404040404040404,25.376430976431,6.93543758529071,0.00203038902068316,0.0291096509659764,0.0048128384071606,"PATL2/NEAT1",2
"GO:0043506","regulation of JUN kinase activity","1/3","13/18842",0.0769230769230769,483.128205128205,21.9434175188095,0.00206852592019924,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0070424","regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","1/3","14/18842",0.0714285714285714,448.619047619048,21.1423939557846,0.00222752503976176,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:1900044","regulation of protein K63-linked ubiquitination","1/3","14/18842",0.0714285714285714,448.619047619048,21.1423939557846,0.00222752503976176,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0001787","natural killer cell proliferation","1/3","15/18842",0.0666666666666667,418.711111111111,20.4227760464979,0.00238650726967871,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0034145","positive regulation of toll-like receptor 4 signaling pathway","1/3","15/18842",0.0666666666666667,418.711111111111,20.4227760464979,0.00238650726967871,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:1902916","positive regulation of protein polyubiquitination","1/3","15/18842",0.0666666666666667,418.711111111111,20.4227760464979,0.00238650726967871,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0030575","nuclear body organization","1/3","16/18842",0.0625,392.541666666667,19.7716370002292,0.00254547261084803,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0046831","regulation of RNA export from nucleus","1/3","16/18842",0.0625,392.541666666667,19.7716370002292,0.00254547261084803,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0032495","response to muramyl dipeptide","1/3","17/18842",0.0588235294117647,369.450980392157,19.1787529031255,0.00270442106416613,0.0291096509659764,0.0048128384071606,"PTPN22",1
"GO:0010587","miRNA catabolic process","1/3","18/18842",0.0555555555555556,348.925925925926,18.6359169444327,0.00286335263053039,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0032239","regulation of nucleobase-containing compound transport","1/3","18/18842",0.0555555555555556,348.925925925926,18.6359169444327,0.00286335263053039,0.0291096509659764,0.0048128384071606,"NEAT1",1
"GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","1/3","18/18842",0.0555555555555556,348.925925925926,18.6359169444327,0.00286335263053039,0.0291096509659764,0.0048128384071606,"PTPN22",1
