"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HLA-DRA",275.409824188692,1.19666744054858,0.228871051238573,5.22856619075512,1.70829674902703e-07,0.000229936742419038
"IGHV5-10-1",1370.573009931,-12.5453006963817,2.61984391844716,-4.78856797843805,1.6797566371412e-06,0.00113047621679603
"IGHV3-64D",193.294421181463,-8.30603946786484,1.93728794297238,-4.28745736946097,1.80729927825653e-05,0.00782482400092826
"MT-ATP8",334.476679865927,-1.8038083890913,0.426319857680198,-4.23111510429434,2.32535631528329e-05,0.00782482400092826
"HLA-DMA",103.0014316629,0.888583121035941,0.228247727157343,3.8930644878816,9.89858254470178e-05,0.0266469842103372
"LAPTM5",192.462051465951,1.02606849875333,0.29375827791971,3.49290071421842,0.000477804123497443,0.0782778602479293
"RHOB",86.1264267105047,-1.24724739746608,0.356399369153943,-3.4995780167258,0.000465995217213784,0.0782778602479293
"STK17B",71.0935923368582,-0.646857361262749,0.186878898817308,-3.46137185822737,0.000537429903794553,0.0782778602479293
"MFF",138.419319355801,-0.622543695183389,0.181317615733656,-3.43344298161226,0.000595967536718652,0.0782778602479293
"RPS18",3421.30339580516,-0.297738022003687,0.0868878282354757,-3.42669425683864,0.000610976574736563,0.0782778602479293
"IGLV4-60",260.339986998085,-6.80065319917444,1.99187785503229,-3.41419188028686,0.000639715054032112,0.0782778602479293
"MTDH",435.297172146052,0.389571485496066,0.117180008372023,3.32455587696541,0.000885594851941236,0.0884948250553408
"UBE2G1",125.996060881975,-0.517609644898019,0.156199335283099,-3.31377623316956,0.000920451375018403,0.0884948250553408
"CALM3",191.036715130174,0.577392070679548,0.172903547159286,3.33938823214326,0.000839631306396667,0.0884948250553408
"GSTP1",444.446914827744,0.454361246698983,0.139481902397123,3.25749246956323,0.0011240124067503,0.100861379965727
"USO1",83.2028590088337,-0.503465656283649,0.158603073349072,-3.17437515965131,0.00150159469683391,0.126321653871153
"JUN",309.460236367615,-1.30766813506398,0.418435484733317,-3.12513680788187,0.0017772238375218,0.128985263135412
"MRPL52",227.789481853268,0.332440504850469,0.106619318885903,3.11801377390363,0.00182074294173316,0.128985263135412
"DDT",120.383124335184,0.589091662343596,0.187139684745301,3.14787140496339,0.00164464027583899,0.128985263135412
"DAD1",490.574308916669,0.307906599964983,0.0997725687757529,3.08608471990962,0.00202811027266676,0.136491821350473
"TOMM7",197.539900694341,0.342653242378165,0.115009344239968,2.97935132699491,0.0028885936955445,0.185145100676329
"IGKV1D-33",73.7818311441037,-4.05311461848332,1.36749489777169,-2.96389743397785,0.00303769516288348,0.185851713147326
"HLA-DQA1",128.457948119514,1.59270150642437,0.5416840373436,2.94027772026461,0.00327918186497348,0.191903425663231
"IGLV3-27",162.380869923551,-5.69407582909922,1.96046328925222,-2.9044541972888,0.00367894027972455,0.206327234021218
"IGKV2-28",173.9203638976,-6.26463060698725,2.1948587532309,-2.85422950236115,0.00431413530471612,0.232273044805916
"NCOA3",158.146693655962,-0.907485489345731,0.320391875421042,-2.83242353805995,0.00461966132706591,0.239156313316566
"HLA-DPB1",142.670279290912,0.616630804852524,0.225947629344698,2.72908729620621,0.00635098890991481,0.307224176404076
"PIM2",359.708583473809,-0.880683948366347,0.322947843399101,-2.72701603793648,0.00639099326843546,0.307224176404076
"HLA-DPA1",302.95933512017,0.528524367979637,0.196649319225473,2.68764911092137,0.00719569669687938,0.333979577724126
"IGKV1-39",1749.48783894133,-3.92458615769416,1.46810030899896,-2.67324114955754,0.0075122226691172,0.337048390421058
"MIF",1031.53165680786,0.329643266737846,0.124166158013247,2.65485597696175,0.00793422756860214,0.344499042172209
"SERP1",594.844148233608,0.255502210916485,0.0969373468236715,2.63574586357559,0.00839525815922859,0.353125546322553
"SEPTIN6",135.045571154817,-0.426086802093545,0.163755435087951,-2.60197044369672,0.00926898401438733,0.378062196465617
"NUDT22",86.5168099076852,0.368413692983174,0.143301682263661,2.57089579943192,0.0101435842149955,0.401566598628938
"IGHV3-74",2646.98293756237,-3.99731164669447,1.56725073581342,-2.55052465783008,0.0107560915064821,0.413648547649283
"CYTIP",170.165193223597,-0.366465129351722,0.150702729983981,-2.43170863189191,0.0150277907844472,0.421404299913873
"EIF4G1",91.316561865442,0.408605742113023,0.167878305242253,2.4339401182505,0.0149354657236874,0.421404299913873
"CLPTM1L",153.116740239073,0.414514218896173,0.169610051374864,2.44392484723699,0.0145284525802994,0.421404299913873
"HIST1H1D",99.3601925079254,-0.909484687685306,0.366621642968352,-2.48071739660993,0.013111828132837,0.421404299913873
