"celltype","Description","NES","p.adjust","setSize","core_enrichment"
"IFN_activated_DC","muscle system process",2.37053170283385,2.36125e-08,146,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/FOXO1/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/PABPN1/RPL24/RPL17/RPL19/GRK2/RPL12/YY1/GNAS/SRF/RPL21/RPL10A/RPL7A/EEF2/RPLP2/APBB1/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/MAP2K1/RPL35/RPL13/RPL15/GSTM2/KCNQ1/TNFRSF1A/UBA52/RPL14/RPL41/CHRNB1/TOMM70/ARRB1/C12orf57/GSTO1/NOTCH1/RPL38/CALM3"
"IFN_activated_DC","muscle structure development",2.28580763569235,2.36125e-08,223,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/OLFM2/ZFP36L1/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/SRF/SMARCB1/CD81/TMEM204/OBSCN/RPL21/RPL10A/RPL7A/EEF2/ZNF609/RPLP2/ACTN1/PDLIM2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/NOG/ID3/MTLN/FLII/CDK9/LRRC8A/KDM6B/CTNNB1/RPL8/RPL35/KDM1A/ZFPM1/ZBTB18/RPL13/PLEKHO1/PPARD/CSRP1/RPL15/TGFBR1/CASP7/SOX4/SMARCA4/UBA52/QKI/RPL14/RPL41/CHRNB1/WDR1/TOMM70/NOTCH1/REST/MEF2D/RPL38"
"Cytotoxic_NK_gamma_delta_T","negative regulation of myoblast fusion",2.9802598383081,2.47714285714286e-08,45,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A"
"Cytotoxic_NK_gamma_delta_T","regulation of myoblast fusion",2.88711308240891,2.47714285714286e-08,51,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A"
"Cytotoxic_NK_gamma_delta_T","myoblast fusion",2.83653756805046,2.47714285714286e-08,54,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52"
"Cytotoxic_NK_gamma_delta_T","myotube differentiation",2.8239831897209,2.47714285714286e-08,65,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/MAML1/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/HDAC5/PPP3CB/RPL15/RPL35/RPL27/RPL18A/RPL41/NACA/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/SKI/RPL23A"
"Cytotoxic_NK_gamma_delta_T","striated muscle contraction",2.79164376064236,2.47714285714286e-08,74,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52"
"Cytotoxic_NK_gamma_delta_T","muscle contraction",2.63359763252485,2.47714285714286e-08,103,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/TMOD3/RPL15/RPL35/RPL27/APBB1/RPL18A/RPL41/PABPN1/MAP2K1/RPL19/RPL36/UBA52"
"Cytotoxic_NK_gamma_delta_T","striated muscle cell differentiation",2.60525068034265,2.47714285714286e-08,89,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/FLII/MAML1/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/MTLN/RPL7A/RPL37/HDAC5/TMOD3/PPP3CB/RPL15/RPL35/RPL27/RPL18A/RPL41/NACA/RPL19/RPL36/UBA52/SIRT6/RPL29/RPL13/RPL13A/TGFB1/SKI/RPL23A/PDLIM5"
"Cytotoxic_NK_gamma_delta_T","muscle cell differentiation",2.57272090720764,2.47714285714286e-08,118,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/BIN1/QKI/RPL32/RPL17/FLII/MAML1/RPL34/ID2/RPL10A/RPL24/ACTN1/RPL38/RPL18/RPL35A/RPL39/ACTN4/RPL12/RPL30/PTBP1/RPL10/MTLN/RPL7A/RPL37/HDAC5/TMOD3/PPP3CB/RPL15/RPL35/RPL27/RPL18A/ZNHIT1/RPL41/TMEM204/NACA/RPL19/RPL36/UBA52/SIRT6/RPL29/RPL13/RPL13A/TGFB1/SKI/RPL23A/CCNT2/PDLIM5/SYNE1/MRTFA/WDR1/MECP2/RPL37A/RPL14/MAPK14/RPL8"
"Cytotoxic_gamma_delta_T","negative regulation of myoblast fusion",2.93296123507694,4.71444444444444e-08,46,"RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/RPL11/RPL28/RPL5/RPL7/RPL27/UBA52/RPL18/RPL29/RPL37/RPL39/RPL34/RPL15/RPL32/RPL13/RPL41/RPL36/RPL17/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0"
"Cytotoxic_gamma_delta_T","regulation of myoblast fusion",2.79291840903795,4.71444444444444e-08,52,"RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/RPL11/RPL28/RPL5/RPL7/RPL27/PLEKHO1/UBA52/CAPN2/RPL18/RPL29/RPL37/RPL39/RPL34/RPL15/RPL32/RPL13/RPL41/RPL36/RPL17/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0"
"Cytotoxic_gamma_delta_T","myoblast fusion",2.78293024074512,4.71444444444444e-08,56,"RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/CD81/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/RPL11/RPL28/RPL5/RPL7/RPL27/PLEKHO1/UBA52/CAPN2/RPL18/RPL29/RPL37/RPL39/RPL34/RPL15/RPL32/DOCK5/RPL13/RPL41/RPL36/RPL17/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0"
"Cytotoxic_gamma_delta_T","myotube differentiation",2.56775315846799,4.71444444444444e-08,77,"RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/CD81/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/NACA/RPL11/RPL28/RPL5/RPL7/RPL27/PLEKHO1/UBA52/CAPN2/RPL18/RPL29/MAML1/RPL37/RPL39/RPL34/RPL15/RPL32/DOCK5/RPL13/RPL41/RPL36/TBX1/RPL17/ATP11A/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0"
"CD14_CD163_macrophage","negative regulation of myoblast fusion",2.87219290101526,5.08875e-08,45,"RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A/RPLP0"
"CD14_CD163_macrophage","regulation of myoblast fusion",2.81868486581101,5.08875e-08,51,"RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A"
"CD14_CD163_macrophage","myoblast fusion",2.72482582467955,5.08875e-08,55,"RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A"
"Cytotoxic_NK_gamma_delta_T","muscle system process",2.27081833364277,8.65298735226971e-08,136,"RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/JUND/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/TNFRSF1A/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/TMOD3/RPL15/RPL35/RPL27/APBB1/RPL18A/RPL41/TWF1/MTPN/PABPN1/MAP2K1/RPL19/RPL36/UBA52"
"T_cells_unresolved","negative regulation of myoblast fusion",2.75034603685906,1.929e-07,45,"RPL21/RPL23/RPL27/RPL9/RPL34/RPL36A/RPL35/RPL10A/RPL31/RPL41/RPL17/RPL38/RPL35A/RPL23A/RPL13/RPL4/RPL37/UBA52/RPL30/RPL13A/RPL18A/RPL36/RPL11/RPL5/RPL10/RPL12/RPL37A/RPL24/RPL28/RPL14/RPL29/RPL19/RPL7A/RPL18/RPLP2/RPL7/RPL32/RPL15/RPL39"
"NK","negative regulation of myoblast fusion",2.76801680483925,2.1245e-07,46,"RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A"
"Cytotoxic_gamma_delta_T","anatomical structure formation involved in morphogenesis",1.91208309104324,2.36767084293661e-07,381,"LFNG/ZFPM1/AKT1/C3AR1/GNAS/ITGA5/ANXA1/RPL31/HOPX/QKI/SSBP3/PACSIN2/TIGD5/ERBB2/ACVR2B/RPL9/RRAS/LEPR/PLCG1/RPL21/VEGFB/RPL36A/RPL30/RPL19/CD81/RPLP2/RPL7A/ITGB2/RPL23/AGFG2/RPL14/RPL6/RPL12/ITGAX/FOXJ2/SCRIB/RPL11/WNT1/RPL28/TYROBP/FMNL3/RPL5/CNOT3/RPL7/RPL27/TGFB1/S1PR1/VPS33A/C12orf43/PLEKHO1/UBA52/EOMES/PLXND1/MICALL1/HIPK2/CAPN2/SPRY2/FURIN/RPL18/SPTBN1/RPL29/FASLG/RASA1/RPL37/HDAC2/SH2D2A/RTF1/RPL39/RPL34/NBEAL2/RPL15/RPL32/AGO2/BRCA1/CTR9/SRPK2/MAP2K5/DOCK5/HDAC1/RPL13/RPL41/JMJD6/ROCK2/RPL36/TNFSF12/STAT1/GNAI2/TBX1/PRKX/MYH9/RPL17/NGFR/TPM1/ADAM15/NINJ1/ADGRG1/SPHK1/HIPK1/PTK2B/GRN/RPL35A/RPL38/PIK3CD/RPL10/CCM2/HLA-G/RECK/AGTPBP1/RPL8/TAF10/RPL24/TRAF6/ACTN1/RPL18A/SMAD1/BLOC1S6/SLC31A1/RPL35/NCL/RPLP0/TNF/RNH1/CD160/PTCH1/C1GALT1/TET1/MTHFR/HSPB1/MAPK14/HGS/SOCS7/KIF16B/ZNF354C/ERAP1/SEMA4C/RPL23A/WARS2/BCAS3/PDPK1/DUSP2/PIK3CA/AAMP/TLR3/HIF1A/PRCP/DEAF1/PKM/SMAD4/SIRT6/COL18A1/AGGF1"
"T_cells_unresolved","regulation of myoblast fusion",2.64996588169934,2.50466978545764e-07,51,"RPL21/RPL23/RPL27/RPL9/RPL34/RPL36A/RPL35/RPL10A/RPL31/RPL41/RPL17/RPL38/RPL35A/RPL23A/RPL13/RPL4/RPL37/UBA52/RPL30/RPL13A/RPL18A/RPL36/RPL11/RPL5/RPL10/RPL12/RPL37A/RPL24/RPL28/RPL14/RPL29/RPL19/RPL7A/MAPK14/RPL18/RPLP2/RPL7/RPL32/CAPN2/RPL15/RPL39"
"CD14_CD163_macrophage","myotube differentiation",2.46530559334125,1.00327494780743e-06,73,"RPL36/NACA/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RBM38/RPL18A/RPL21/HDAC5/SKI/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/MAML1/RPL7A"
"IFN_activated_DC","negative regulation of developmental process",1.90954591665036,1.04153129444323e-06,318,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/ZFP36L1/ZNF706/FOXO1/RPL4/DYNLT1/RPL18A/LBH/RPL36A/RPL34/RPL29/RFLNB/RPL24/RPL17/RPL19/RPL12/NPHP3/YY1/GNAS/PTK2B/TRIB2/RPL21/RPL10A/RPL7A/RC3H1/PTEN/RPLP2/FYN/RPL35A/RPL28/PSMB4/LAPTM5/RPL39/RPL31/RPL36/RPLP0/RPL23/PGK1/NOG/ID3/PIN1/LEO1/MYC/NR1D1/FBXO11/PHF14/CTNNB1/RPL8/DTNBP1/LDB1/PCM1/TPT1/RPL35/APPBP2/ZFPM1/RPL13/PPARD/RPL15/TGFBR1/CARM1/HGS/PRMT5/SOX4/SMARCA4/UBA52/QKI/RPL14/ABCG1/VGLL4/RPL41/BICRAL/TOMM70/KLF13/KLF7/NOTCH1/REST"
"Cytotoxic_gamma_delta_T","muscle contraction",2.24714541859237,1.0587231507592e-06,142,"GRK2/PABPN1/GNAS/RPL31/EEF2/RPL9/RPL21/RPL36A/RPL30/RPL19/RPLP2/RPL7A/RPL23/STUB1/RPL14/RPL6/ABAT/RPL12/RPL11/RPL28/EMD/HSP90AA1/CHRNB1/RPL5/RPL7/RPL27/ADRB2/MAP2K1/UBA52/CACNA2D4/GAA/RPL18/RPL29/SNTA1/RPL37/CACNA2D2/RPL39/RPL34/RPL15/RPL32/DOCK5/RPL13/RPL41/GSN/C12orf57/ROCK2/RPL36/RPL17/TPM1/SPHK1/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0/TNF"
"NK","regulation of myoblast fusion",2.53987317664563,1.18248457495562e-06,52,"RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A"
"T_cells_unresolved","myoblast fusion",2.55988628111504,1.7721197939929e-06,55,"RPL21/RPL23/RPL27/RPL9/RPL34/RPL36A/RPL35/RPL10A/RPL31/RPL41/RPL17/RPL38/RPL35A/RPL23A/RPL13/RPL4/RPL37/CD81/UBA52/RPL30/RPL13A/RPL18A/RPL36/RPL11/RPL5/RPL10/RPL12/RPL37A/RPL24/RPL28/RPL14/RPL29/RPL19/RPL7A/MAPK14/RPL18/RPLP2/RPL7/RPL32/CAPN2/RPL15/RPL39"
"Naive_CD8_T","negative regulation of myoblast fusion",2.60950706512332,2.11940963065788e-06,46,"RPL12/RPL4/RPL30/RPL5/RPL11/RPL36A/RPL32/RPL9/RPL7A/RPL7/RPL24/RPL34/RPL10/RPL17/RPL39/RPL36/RPL19/RPL28/RPL29/RPL35A/RPL6/RPL10A/RPL21/UBA52/RPLP1/RPL18A/RPL18/RPLP2/RPL23/RPL27/RPL38/RPL41/RPLP0/RPL31/RPL15/RPL14"
"CD14_CD163_macrophage","striated muscle contraction",2.328846586256,3.11997624635188e-06,94,"TPM1/RPL36/GSTM2/RPL27/RPL17/AKAP9/RPL32/RPL10A/GNAS/RPL24/RPL11/RPL30/RPL4/RPL12/GAA/RPL34/RPL9/GSN/RPL36A/RPL18A/VPS54/RPL21/ARHGEF11/PRKACA/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/TNNI2/RPL41/RPL14/RPLP1/RPL15/PIK3CA/RPLP2/GRK2/RPL37/RPL31/RPL7/RPL13"
"Cytotoxic_NK_gamma_delta_T","muscle structure development",2.02415597481319,3.71018245528159e-06,195,"RPL7/NOG/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/KMT5B/RPL23/BIN1/QKI/RPL32/ZFP36L1/RPL17/FLII/MAML1/RPL34/ID2/RPL10A/RPL24/EEF2/ACTN1/RPL38/RPL18/RPL35A/RPL39/ZFPM1/ACTN4/RPL12/RPL30/PTBP1/RPL10/MTLN/RPL7A/RPL37/HDAC5/TMOD3/ARID1A/PPP3CB/RPL15/RPL35/RPL27/SMARCC2/ACTL6A/RPL18A/ZNHIT1/RPL41/TMEM204/IFRD1/NACA/MTPN/RPL19/EID2/RPL36/UBA52"
"Mast_cells","striated muscle cell differentiation",2.44368504659261,5.18915048722413e-06,59,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/NACA/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6/TGFB1/RPL38/AKAP13/RPL23A"
"Plasma_cells","myoblast fusion",2.49567508769487,5.2173934993298e-06,56,"RPL28/CD9/RPLP2/RPL19/RPL11/RPL23/RPL10/RPL37/RPLP1/RPL9/RPL21/RPL7/CD81/RPL31/RPL36A/RPL30/PLEKHO1/RPL41/CD53/RPL36/RPL12/RPL32/RPL35/RPL34/UBA52/RPL39"
"Mast_cells","striated muscle contraction",2.37352766598999,6.58400524852971e-06,62,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/GNAS/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/C12orf57/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/SRI/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Cytotoxic_NK_gamma_delta_T","anatomical structure formation involved in morphogenesis",1.90007674627494,6.60409253786159e-06,268,"RPL7/NOG/RPL4/LFNG/RPL31/RPL36A/VEGFB/RPL6/RPL5/NBEAL2/RPLP2/RPL11/RPL21/CD81/GNAS/ITGA5/SSBP3/RPL9/RPL23/QKI/LEO1/ITGAX/RPL32/RPL17/FLII/RPL34/PAFAH1B1/RPL10A/RPL24/ACTN1/RPL38/RPL18/RPL35A/RPL39/GNAI2/FURIN/ZFPM1/KLF2/RPL12/RPL30/PHACTR4/RPL10/RPL7A/RPL37/HDAC5/TMOD3/MTHFD1/RGCC/CIB1/ABCA2/RPL15/RPL35/TAF10/RPL27/FYN/RPL18A/RPL41/AKT1/EHD4/HSPB1/TOPORS/RPL19/RPL36/UBA52/PRKDC/ADAM8/AGGF1/C12orf43/SIRT6/KRIT1/BLOC1S6/SPTBN1/RPL29/PRCP/RPL13/RPL13A/LEMD2/TGFB1/SKI/RPL23A/PGK1/ERBB2/ANXA1/WDR1/AGFG1/CNOT3/MYH9/MECP2/RAMP1/MICALL1/MIA3/EOMES/RPL37A/RPL14/HIPK1/MAPK14"
