"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045591","positive regulation of regulatory T cell differentiation","1/2","20/18842",0.05,471.05,21.6696897614493,0.00212184647166702,0.00658504077413903,NA,"HLA-DRA",1
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","1/2","24/18842",0.0416666666666667,392.541666666667,19.7753144176,0.00254594534508157,0.00763783603524471,NA,"HLA-DRA",1
"GO:0019883","antigen processing and presentation of endogenous antigen","1/2","30/18842",0.0333333333333333,314.033333333333,17.6791040371722,0.00318192464212941,0.00923784573521441,NA,"HLA-DRA",1
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","1/2","31/18842",0.032258064516129,303.903225806452,17.390230043412,0.00328790147344515,0.0092472228940645,NA,"HLA-DRA",1
"GO:0001916","positive regulation of T cell mediated cytotoxicity","1/2","34/18842",0.0294117647058824,277.088235294118,16.6013182319489,0.00360579816477824,0.00983399499484974,NA,"HLA-DRA",1
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","1/2","39/18842",0.0256410256410256,241.564102564103,15.4944468098631,0.00413551330828388,0.0109469469925161,NA,"HLA-DRA",1
"GO:0001914","regulation of T cell mediated cytotoxicity","1/2","43/18842",0.0232558139534884,219.093023255814,14.7514648939657,0.0045591840152438,0.0110899070641065,NA,"HLA-DRA",1
"GO:0045622","regulation of T-helper cell differentiation","1/2","43/18842",0.0232558139534884,219.093023255814,14.7514648939657,0.0045591840152438,0.0110899070641065,NA,"HLA-DRA",1
"GO:0046638","positive regulation of alpha-beta T cell differentiation","1/2","43/18842",0.0232558139534884,219.093023255814,14.7514648939657,0.0045591840152438,0.0110899070641065,NA,"HLA-DRA",1
"GO:0045589","regulation of regulatory T cell differentiation","1/2","45/18842",0.0222222222222222,209.355555555556,14.4176206529168,0.00477098556610889,0.0112997026565737,NA,"HLA-DRA",1
"GO:0001913","T cell mediated cytotoxicity","1/2","50/18842",0.02,188.42,13.672280419436,0.00530039085231138,0.0122316711976416,NA,"HLA-DRA",1
"GO:0045066","regulatory T cell differentiation","1/2","52/18842",0.0192307692307692,181.173076923077,13.404625973849,0.00551211353040859,0.0124022554434193,NA,"HLA-DRA",1
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","1/2","54/18842",0.0185185185185185,174.462962962963,13.1519420904711,0.00572381367342922,0.0125644690392349,NA,"HLA-DRA",1
"GO:0046635","positive regulation of alpha-beta T cell activation","1/2","58/18842",0.0172413793103448,162.431034482759,12.6862571477483,0.00614714635424074,0.013172456473373,NA,"HLA-DRA",1
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","1/2","60/18842",0.0166666666666667,157.016666666667,12.4710271680233,0.0063587788920314,0.0133090720996006,NA,"HLA-DRA",1
"GO:0031343","positive regulation of cell killing","1/2","62/18842",0.0161290322580645,151.951612903226,12.2662646896873,0.00657038889474615,0.0134394318301626,NA,"HLA-DRA",1
"GO:0002711","positive regulation of T cell mediated immunity","1/2","66/18842",0.0151515151515152,142.742424242424,11.8849349532305,0.00699354129494467,0.0136830155770657,NA,"HLA-DRA",1
"GO:0046637","regulation of alpha-beta T cell differentiation","1/2","66/18842",0.0151515151515152,142.742424242424,11.8849349532305,0.00699354129494467,0.0136830155770657,NA,"HLA-DRA",1
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","1/2","70/18842",0.0142857142857143,134.585714285714,11.5366651533822,0.00741660355483753,0.0142020068071357,NA,"HLA-DRA",1
"GO:0002292","T cell differentiation involved in immune response","1/2","86/18842",0.0116279069767442,109.546511627907,10.394928537616,0.00910795119134544,0.0170774084837727,NA,"HLA-DRA",1
"GO:0001910","regulation of leukocyte mediated cytotoxicity","1/2","89/18842",0.0112359550561798,105.85393258427,10.2157645147079,0.00942491831076975,0.0173110744483526,NA,"HLA-DRA",1
"GO:0042093","T-helper cell differentiation","1/2","94/18842",0.0106382978723404,100.223404255319,9.93635503684444,0.00995308416776175,0.0178419727356396,NA,"HLA-DRA",1
"GO:0031341","regulation of cell killing","1/2","99/18842",0.0101010101010101,95.1616161616162,9.67828645531466,0.0104811091805249,0.0178419727356396,NA,"HLA-DRA",1
"GO:0002709","regulation of T cell mediated immunity","1/2","100/18842",0.01,94.21,9.62899729252659,0.0105866972817699,0.0178419727356396,NA,"HLA-DRA",1
"GO:0046634","regulation of alpha-beta T cell activation","1/2","100/18842",0.01,94.21,9.62899729252659,0.0105866972817699,0.0178419727356396,NA,"HLA-DRA",1
"GO:0045582","positive regulation of T cell differentiation","1/2","102/18842",0.00980392156862745,92.3627450980392,9.53259091523698,0.0107978565829532,0.0178419727356396,NA,"HLA-DRA",1
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/2","103/18842",0.00970873786407767,91.4660194174757,9.4854384774118,0.0109034277828909,0.0178419727356396,NA,"HLA-DRA",1
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","1/2","107/18842",0.00934579439252336,88.0467289719626,9.30344981803983,0.0113256562449505,0.0180492620148043,NA,"HLA-DRA",1
"GO:0002708","positive regulation of lymphocyte mediated immunity","1/2","108/18842",0.00925925925925926,87.2314814814815,9.25953101390349,0.0114311992760427,0.0180492620148043,NA,"HLA-DRA",1
"GO:0002821","positive regulation of adaptive immune response","1/2","110/18842",0.00909090909090909,85.6454545454546,9.17348664208892,0.0116422684369191,0.0180655889538399,NA,"HLA-DRA",1
"GO:0045621","positive regulation of lymphocyte differentiation","1/2","115/18842",0.00869565217391304,81.9217391304348,8.96822604511498,0.012169842748151,0.0185641669039592,NA,"HLA-DRA",1
"GO:0002286","T cell activation involved in immune response","1/2","123/18842",0.00813008130081301,76.5934959349593,8.66606989330275,0.013013668690127,0.0191934949295077,NA,"HLA-DRA",1
"GO:0002456","T cell mediated immunity","1/2","124/18842",0.00806451612903226,75.9758064516129,8.63035758328711,0.0131191215809127,0.0191934949295077,NA,"HLA-DRA",1
"GO:0046632","alpha-beta T cell differentiation","1/2","125/18842",0.008,75.368,8.59507185510267,0.0132245688379293,0.0191934949295077,NA,"HLA-DRA",1
"GO:0035710","CD4-positive, alpha-beta T cell activation","1/2","127/18842",0.0078740157480315,74.1811023622047,8.52574649814012,0.0134354464506554,0.0191934949295077,NA,"HLA-DRA",1
"GO:0002705","positive regulation of leukocyte mediated immunity","1/2","130/18842",0.00769230769230769,72.4692307692308,8.42475350408727,0.0137517206164754,0.0193383571169186,NA,"HLA-DRA",1
"GO:0001909","leukocyte mediated cytotoxicity","1/2","134/18842",0.00746268656716418,70.3059701492537,8.29537243386182,0.014173340631468,0.019624625489725,NA,"HLA-DRA",1
"GO:0002706","regulation of lymphocyte mediated immunity","1/2","169/18842",0.00591715976331361,55.7455621301775,7.36566133465654,0.0178586707152134,0.0234311275468939,NA,"HLA-DRA",1
"GO:0045580","regulation of T cell differentiation","1/2","169/18842",0.00591715976331361,55.7455621301775,7.36566133465654,0.0178586707152134,0.0234311275468939,NA,"HLA-DRA",1
"GO:1902107","positive regulation of leukocyte differentiation","1/2","170/18842",0.00588235294117647,55.4176470588235,7.34336853508621,0.0179638644526187,0.0234311275468939,NA,"HLA-DRA",1
"GO:1903708","positive regulation of hemopoiesis","1/2","170/18842",0.00588235294117647,55.4176470588235,7.34336853508621,0.0179638644526187,0.0234311275468939,NA,"HLA-DRA",1
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/2","178/18842",0.00561797752808989,52.9269662921348,7.17178253663121,0.0188052115361721,0.0241781291179356,NA,"HLA-DRA",1
"GO:0046631","alpha-beta T cell activation","1/2","183/18842",0.00546448087431694,51.4808743169399,7.07024973318842,0.0193308703658961,0.0245039201821218,NA,"HLA-DRA",1
"GO:0002819","regulation of adaptive immune response","1/2","190/18842",0.00526315789473684,49.5842105263158,6.9348292210203,0.0200665561092057,0.0247886337072866,NA,"HLA-DRA",1
"GO:0002285","lymphocyte activation involved in immune response","1/2","191/18842",0.00523560209424084,49.3246073298429,6.91608750896174,0.0201716315374588,0.0247886337072866,NA,"HLA-DRA",1
"GO:0045619","regulation of lymphocyte differentiation","1/2","193/18842",0.00518134715025907,48.8134715025907,6.87903755246305,0.0203817654926579,0.0247886337072866,NA,"HLA-DRA",1
"GO:0002703","regulation of leukocyte mediated immunity","1/2","219/18842",0.0045662100456621,43.0182648401827,6.44409409520479,0.0231114562182814,0.0277337474619376,NA,"HLA-DRA",1
"GO:0050890","cognition","1/2","224/18842",0.00446428571428571,42.0580357142857,6.36916042185444,0.0236359601253313,0.0279899527799976,NA,"HLA-DRA",1
"GO:0002699","positive regulation of immune effector process","1/2","235/18842",0.00425531914893617,40.0893617021277,6.21270674768002,0.0247893729491566,0.0289659482005099,NA,"HLA-DRA",1
"GO:0001906","cell killing","1/2","238/18842",0.00420168067226891,39.5840336134454,6.17190828450638,0.0251038217737752,0.0289659482005099,NA,"HLA-DRA",1
"GO:0030217","T cell differentiation","1/2","265/18842",0.00377358490566038,35.5509433962264,5.83608461430819,0.02793157951884,0.0318207867936151,NA,"HLA-DRA",1
"GO:0002366","leukocyte activation involved in immune response","1/2","274/18842",0.00364963503649635,34.3832116788321,5.73518402050744,0.028873252763261,0.0324824093586687,NA,"HLA-DRA",1
"GO:0002263","cell activation involved in immune response","1/2","279/18842",0.003584229390681,33.7670250896057,5.68121933432316,0.0293962073837968,0.0326624526486631,NA,"HLA-DRA",1
"GO:1902105","regulation of leukocyte differentiation","1/2","295/18842",0.00338983050847458,31.935593220339,5.51771346559872,0.0310687156962964,0.0340998099105693,NA,"HLA-DRA",1
"GO:0002449","lymphocyte mediated immunity","1/2","339/18842",0.00294985250737463,27.7905604719764,5.12846147493107,0.0356606769804041,0.038668203954655,NA,"HLA-DRA",1
"GO:0002697","regulation of immune effector process","1/2","347/18842",0.00288184438040346,27.149855907781,5.06562915902721,0.0364944072080787,0.0391011505800843,NA,"HLA-DRA",1
"GO:0030098","lymphocyte differentiation","1/2","356/18842",0.00280898876404494,26.4634831460674,4.99744310534535,0.0374319227308733,0.0396338005385717,NA,"HLA-DRA",1
"GO:0010720","positive regulation of cell development","1/2","362/18842",0.00276243093922652,26.024861878453,4.95337849501526,0.0380566795597914,0.0398267576788515,NA,"HLA-DRA",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/2","377/18842",0.0026525198938992,24.9893899204244,4.84776708885172,0.0396176843134476,0.0409838113587389,NA,"HLA-DRA",1
"GO:1903706","regulation of hemopoiesis","1/2","382/18842",0.00261780104712042,24.6623036649215,4.81392566740549,0.0401377375428758,0.0410499588506684,NA,"HLA-DRA",1
"GO:0002443","leukocyte mediated immunity","1/2","429/18842",0.00233100233100233,21.960372960373,4.52472197642233,0.0450193534336114,0.0455251888654497,NA,"HLA-DRA",1
"GO:1903131","mononuclear cell differentiation","1/2","439/18842",0.00227790432801822,21.4601366742597,4.4691301352419,0.0460563894882858,0.0460563894882858,NA,"HLA-DRA",1
