"sample_name","cells_before","cells_after","retained_pct","removed_pct"
"OM-HL-007-C8",7561,7473,98.8361327866684,1.16386721333157
"OM-HS-066-C6",5300,5150,97.1698113207547,2.83018867924528
"OM-HS-066-2-C6",5564,5466,98.2386772106398,1.76132278936018
"OM-HL-014-C8",8297,8242,99.3371097987224,0.662890201277577
"OM-HL-014-C6-F",8378,8105,96.7414657436142,3.25853425638577
"OM-HL-019-C6",5327,4954,92.9979350478693,7.00206495213065
"OM-HS-063-C8",3419,3374,98.6838256800234,1.3161743199766
"OM-HS-063-2-C8",10618,10545,99.3124882275381,0.68751177246186
"OM-HS-063-3-C6",11794,11583,98.2109547227404,1.78904527725962
"OM-HS-063-C8-F",2944,2874,97.6222826086957,2.37771739130434
"OM-HS-063-4-C6",9530,8875,93.1269674711438,6.87303252885624
"OM-HS-057-C8",5628,5453,96.8905472636816,3.1094527363184
"OM-HS-057-2-C8",4492,4295,95.6144256455922,4.38557435440784
"OM-HS-057-F1-C8",3106,2990,96.2652929813265,3.73470701867353
"OM-HS-057-3-C6",8999,8534,94.8327591954662,5.16724080453383
"OM-HS-057-4-C8",6830,6657,97.4670571010249,2.53294289897511
"OM-HS-057-F2-C6",6310,5894,93.4072900158479,6.59270998415214
"OM-HS-044-C4",3912,3859,98.6451942740286,1.35480572597137
"OM-HS-056-C5",2531,2378,93.9549585144212,6.04504148557882
